0,1,2,3
"""#2WheelzNHeelz""","Nashville, Tennessee, USA",36.1622767,-86.7742984
"""#CaptchaLA""","Los Angeles, California, USA",34.0536909,-118.242766
"""#Hashtag Travel UK""","England, UK",52.5310214,-1.2649062
"""#Mittelfingerspitzengef�hl""",Germany,51.0834196,10.4234469
"""#Mittelfingerspitzengef�hl""",The Netherlands,52.24764975,5.541246849406163
"""#Murder""","Knoxville, Tennessee, USA",35.9603948,-83.9210261
"""Code 13: Unreadable""","Grafton, Massachusetts, USA",42.2121887,-71.6849585
"""Coming Distractions""","Oakville, Ontario, Canada",43.447436,-79.666672
